Actual,Proposed LDSS,SARIMA,SVR,ANN,RNN,LSTM,GRU
51242.0,51580.664560000005,53745.36250166011,52116.34815196771,48559.082,52022.73,52268.832,51344.887
52704.0,51216.52474,53588.70372553458,52975.014286736405,48056.824,52114.05,52677.074,51705.97
53422.0,50969.125680000005,54303.57191681101,52898.18251455792,47891.78,51983.82,52858.055,52095.56
52008.0,51258.329060000004,54474.99779334599,53351.22203133637,48140.1,52652.734,53576.555,53700.17
51346.0,51655.31035,54475.827337060226,53557.66005466978,48839.582,53274.977,53040.28,53125.027
50340.0,51439.46388,54741.61685729611,52862.85288003663,49580.67,51867.06,52092.684,51094.74
48930.0,51732.5674,55978.04503510961,52189.16058692537,49898.45,51667.227,52788.555,51981.35
48664.0,50938.55308,56753.17105594006,51247.83696015708,50035.19,51391.367,52729.19,51286.96
49570.0,49698.406339999994,56787.733214389766,50999.714940178186,49594.383,50963.145,52775.12,50601.56
49614.0,49037.72395,56718.72821407694,51526.681717005085,49175.074,50117.125,53097.03,50898.637
49510.0,48878.52149,57618.90337026012,52254.76982996286,48900.49,51021.57,54168.816,52306.504
48824.0,48838.196260000004,58520.68459842643,52878.363890978275,48573.117,51081.96,54369.625,52062.094
48562.0,48994.02358,58946.19888869187,52757.94160048985,48804.24,51123.363,54462.24,51839.844
48792.0,48731.506369999996,57375.595896807536,52635.17077667115,49062.188,49487.54,53311.76,50213.254
48081.0,48627.31664,57076.795450303776,52785.58817381526,49165.918,49817.312,53193.23,50999.293
48228.0,48468.757860000005,57346.108862637855,52682.38850356074,49287.668,50186.457,52868.37,50923.438
49424.0,47698.60542,58138.29110822499,51791.38959282966,48846.016,49056.395,52212.68,49195.4
50431.0,47879.42373,58828.54030646079,52106.780048255765,48425.78,49133.375,52783.395,49953.4
50300.0,48455.31815,60484.70752600621,52976.58888122623,48086.754,49813.633,53205.43,51069.137
50520.0,48865.48655,60873.43683816276,52498.760639387605,48444.473,51047.855,53416.836,51793.13
50406.0,49137.8842,59875.17946297586,52392.67106836226,48985.973,51280.72,53605.973,51689.395
50132.0,49769.29961,59666.385049335855,52890.61253271887,49490.945,50585.66,54043.29,51639.434
49364.0,49842.28218,59041.83856898625,53242.30273915762,49444.76,51226.117,54272.03,51565.633
49670.0,49471.60663,59152.94266787498,53406.331265021596,48955.996,50761.832,54188.98,51215.137
49166.0,49082.418,58608.723096245274,51692.08967582543,49856.004,49494.76,52905.74,49484.465
49732.0,48987.39503,57920.87190155492,51742.74455582083,49752.332,48937.88,52659.1,49717.113
49520.0,48690.21486,57925.12343040361,50611.58217013103,50068.27,48660.492,51857.637,49400.953
49770.0,48534.2795,59085.17473413176,50442.33434913371,49615.613,49014.746,51917.53,50026.7
49344.0,48665.08844,60053.29942502838,50589.49379357744,49585.066,48805.234,51391.324,49093.67
48678.0,48563.334969999996,60114.937134680826,50314.13170205669,49418.66,48902.44,51429.414,48903.285
48254.0,48729.001639999995,59951.67117769161,50256.77075793607,49255.867,48041.363,50941.348,47692.88
47740.0,48416.161589999996,59451.63271140695,49672.36429348215,49124.363,47313.31,50265.984,47242.92
47486.0,48108.151439999994,58794.74490783613,48904.20991896832,48852.87,47110.273,49877.535,46925.105
47398.0,47859.97023,58501.97811057621,48048.98882573734,48867.953,46660.227,48602.953,45728.953
47456.0,47571.372489999994,57903.25435470356,47391.625561867026,48984.086,46342.273,47761.566,45293.87
47682.0,47315.880999999994,57666.134099338364,46808.7222143214,48951.406,46052.86,47086.324,44904.098
47970.0,47112.70882,58121.17882027232,46401.16853356648,48685.434,45919.938,47389.14,45740.117
48098.0,47292.85454,58112.132615260096,47006.10513457799,48582.207,46612.523,48163.633,46462.94
49184.0,47460.66073,57562.48612580348,47301.42396923346,48950.875,47237.066,48575.37,46737.367
49950.0,47555.84804,57509.86478739592,47692.31625156353,49051.062,46411.875,48095.652,46081.152
50018.0,47991.17482,56847.59491905216,48212.83544683365,49573.32,48147.93,48945.793,48014.89
49788.0,48612.77217,55849.72363186018,48886.28240002286,49900.05,48761.434,49140.92,48090.668
50146.0,48769.24165,56681.619156070105,48742.275079353974,50076.348,49285.918,49140.867,47538.773
49444.0,49092.78082,56927.56496921484,48972.25961074457,50364.203,49511.28,50048.22,48696.73
49367.0,49546.34372,57130.20022134244,49462.53982161329,50343.36,49803.473,50948.703,49478.38
49346.0,49044.7938,57604.711202252816,49432.021108229506,50441.7,49331.562,50883.453,49119.086
49540.0,48943.58814,57080.67775210278,49396.8442624361,50458.508,49944.344,51391.562,49626.402
49214.0,49027.315480000005,57140.68034986788,49914.03825268637,50698.29,50078.34,51400.016,49700.215
48688.0,48724.8976,57074.98481692165,49398.0487237633,50402.77,49713.035,51351.926,49433.477
48046.0,48596.8399,57252.48817925984,49885.28554987763,50348.62,49553.508,51255.23,49075.08
47754.0,48490.72674,57141.41103592955,49869.84028662644,50258.043,48854.81,51498.938,49329.11
