Model,MAE,MAPE,RMSE
MW-LTS-500,1576.391845703125,3.3300485610961914,2080.7546707865395
SVR,3359.3740234375,6.846052646636963,4318.430965061269
ANN,2166.98193359375,4.4424920082092285,3073.794189453125
RNN,4011.593505859375,8.045129776000977,5526.51416015625
LSTM,4528.3544921875,9.034131050109863,6455.80419921875
GRU,4802.01171875,9.70442008972168,6544.7412109375
SARIMA,2873.975830078125,6.020122528076172,3764.8559069372095
