0,1,2,3
50583.59219,51580.66456,49853.81215,51330.33013
50305.53683,51216.52474,49417.96495,50795.22505
49860.52592,50969.12568,49053.01862,50442.91955
50377.48312,51258.32906,49091.57258,51004.89187
51009.05831,51655.31035,49102.61256,50849.53172
50737.89476,51439.46388,49198.66268,50009.78099
50401.52913,51732.5674,49312.147,50569.96379
49859.48507,50938.55308,49057.55635,49829.6231
49299.70704,49698.40634,49091.64867,48906.23937
48831.33337,49037.72395,49195.87035,49113.67841
49033.76447,48878.52149,49131.24804,49498.73105
49339.60619,48838.19626,49085.21337,49237.66098
49540.1519,48994.02358,49326.1117,49162.31216
49225.60602,48731.50637,49597.15046,49024.04381
49364.2061,48627.31664,49827.8564,49112.05323
49396.66714,48468.75786,49557.01241,48968.10588
48778.38711,47698.60542,49287.80882,48279.90494
48661.55809,47879.42373,49384.55436,48907.03066
48865.68285,48455.31815,49333.15263,49862.65022
49438.40299,48865.48655,49098.44613,49770.55654
49485.87415,49137.8842,49050.65541,49529.10431
49897.92794,49769.29961,49361.30573,49913.68826
50027.95473,49842.28218,49699.48219,50050.8062
49561.83165,49471.60663,49477.09847,49341.05181
49192.28673,49082.418,49313.69305,49045.18944
49169.93743,48987.39503,49227.16273,49157.23574
49014.53467,48690.21486,48977.30611,48549.88004
48868.85865,48534.2795,48823.80092,48770.61271
49132.69975,48665.08844,49012.25515,49023.92816
49249.6079,48563.33497,49033.85425,48768.73797
49324.24608,48729.00164,49112.91908,48770.1075
49007.95176,48416.16159,48907.45065,48258.89322
48534.49559,48108.15144,48944.24247,48822.51508
48351.9121,47859.97023,48775.72869,48469.07133
48085.19954,47571.37249,48573.96257,48461.61497
47921.5887,47315.881,48320.36408,48168.0656
47853.16364,47112.70882,48290.43059,48263.02617
48171.1714,47292.85454,48447.17702,48624.69931
48497.67333,47460.66073,48357.0646,48477.84245
48510.24719,47555.84804,48537.22248,48768.80492
48876.73196,47991.17482,48417.60265,49213.48411
49490.50166,48612.77217,48689.14358,49909.91443
49511.58795,48769.24165,48592.65978,49245.88428
49399.54317,49092.78082,48578.90964,49134.83622
49727.15594,49546.34372,48657.97903,49605.2079
49593.89097,49044.7938,48442.25278,48294.22116
49241.11525,48943.58814,48436.20399,48155.71543
49175.43992,49027.31548,48525.8599,48330.77864
48931.79948,48724.8976,48443.21297,48350.68865
49188.86594,48596.8399,48551.13393,47719.28998
48978.07762,48490.72674,48708.60773,47595.28307
48704.39717,48114.45587,48678.14773,47262.71714
48003.49303,47418.45163,48415.34444,46784.59084
48088.35861,47334.74712,48466.28965,46627.08204
47842.84951,47005.29536,48387.01026,46476.96264
47212.27104,46548.6548,48401.07996,46609.71632
47118.45022,46132.32273,48383.21817,46793.94021
47007.13815,46036.89499,48170.02251,46872.12549
47495.49564,46679.21647,48222.93377,47278.11072
47496.853,46803.14577,48284.88701,47123.46272
47250.67435,46844.32543,48164.15177,46807.37992
47398.02576,47434.69281,48186.63955,47620.62861
47652.96488,47435.85691,48010.1855,47019.32321
47513.51569,47494.63131,48038.86054,47063.97008
47326.61055,47318.10269,47874.77035,47037.46195
47184.99065,47040.78232,47581.54206,46716.48534
46909.07785,46734.28246,47423.13697,46786.06385
46259.38142,46391.01437,47295.02601,47537.48256
46231.16138,46417.67923,47140.41225,47669.59104
46624.976,46844.64043,47310.08786,47965.56906
46644.43634,46946.16793,47303.40301,48019.5166
46899.23241,46971.73793,47179.04534,47888.56462
47359.59354,47368.12575,47400.67049,48242.50748
46899.85479,47015.7472,47271.64499,47789.20327
