Model,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000)
SARIMA,4611.78,9.841678619384766,5489.309063989747,16.9%,35.92%
SVR,4582.63,9.29184341430664,6442.310455108478,41.55%,54.93%
ANN,2416.719970703125,4.928196430206299,3087.030029296875,50.7%,68.31%
RNN,5586.97998046875,11.324880599975586,8407.654296875,42.96%,55.63%
LSTM,5330.83984375,10.6326904296875,8434.630859375,45.07%,59.15%
GRU,3901.280029296875,7.8132643699646,5875.32421875,45.77%,61.97%
