Actual,Proposed LDSS,SARIMA,SVR,ANN,RNN,LSTM,GRU
52704.0,49853.81215,53745.36250166011,53303.885690298615,50363.64,51774.586,52094.254,51128.938
53422.0,49417.96495,53588.70372553458,53731.823737981416,50082.88,51528.66,52567.992,51458.664
52008.0,49053.018619999995,54303.57191681101,53541.332198970675,49982.19,51713.12,52784.88,51709.67
51346.0,49091.57258,54474.99779334599,53572.31900307112,50507.598,53104.0,53027.773,52743.336
50340.0,49102.61256,54475.827337060226,53941.870637206324,51136.64,52768.832,52405.887,52306.016
48930.0,49198.66268,54741.61685729611,53011.740265204266,51494.668,51559.92,51979.957,51026.16
48664.0,49312.147000000004,55978.04503510961,52206.08697378477,51602.13,51819.082,52869.906,51521.316
49570.0,49057.55635,56753.17105594006,51809.806415729654,51193.17,51439.625,53419.594,51718.41
49614.0,49091.64867,56787.733214389766,51540.03231373524,50547.94,51084.766,53829.13,51544.03
49510.0,49195.87035,56718.72821407694,52249.6699821873,50470.434,51266.367,54514.56,51842.07
48824.0,49131.24804,57618.90337026012,52908.559022234804,50727.793,52011.96,55500.406,52546.83
48562.0,49085.21337,58520.68459842643,53409.3036846807,50635.0,51449.625,56004.336,52581.176
48792.0,49326.1117,58946.19888869187,52684.45407887701,51016.953,51499.17,56145.355,52328.773
48081.0,49597.150460000004,57375.595896807536,52835.53968589444,51408.25,50356.45,55350.957,51299.9
48228.0,49827.8564,57076.795450303776,53010.616887668024,51776.14,51309.586,54858.3,51627.754
49424.0,49557.01241,57346.108862637855,52896.51079185685,51939.973,51355.855,54330.977,51577.957
50431.0,49287.80882,58138.29110822499,51775.04726923268,51405.676,49795.633,53960.562,50574.414
50300.0,49384.55436,58828.54030646079,52163.914777199534,51121.14,50354.824,54340.41,50656.137
50520.0,49333.152630000004,60484.70752600621,53381.49964314524,51232.55,50766.777,54322.78,51052.66
50406.0,49098.446130000004,60873.43683816276,52173.33521608496,52008.746,51345.68,54083.34,51400.85
50132.0,49050.65541,59875.17946297586,51552.51178456475,52469.63,51116.895,54576.89,51701.08
49364.0,49361.30573,59666.385049335855,51899.80998731218,53007.09,51314.54,55138.008,51740.06
49670.0,49699.482189999995,59041.83856898625,52616.370121278924,53439.266,51291.16,55450.75,51586.637
49166.0,49477.09847,59152.94266787498,52663.04169992771,53275.715,50906.684,55321.18,51126.57
49732.0,49313.69305,58608.723096245274,50610.39443134799,53361.996,49506.406,53875.94,49564.094
49520.0,49227.162730000004,57920.87190155492,50777.646432826186,53085.8,49267.04,53395.188,49090.555
49770.0,48977.306110000005,57925.12343040361,49604.32614870464,53049.742,49378.406,52504.348,48824.996
49344.0,48823.80092,59085.17473413176,49121.07274828662,52534.156,49772.504,52211.895,49190.664
48678.0,49012.25515,60053.29942502838,50021.13674721757,52167.82,49530.957,51811.047,48738.96
48254.0,49033.85425,60114.937134680826,49224.78570697508,52263.0,48936.66,51538.96,48318.94
47740.0,49112.91908,59951.67117769161,49556.526066471306,52125.26,48623.336,51217.254,47356.86
47486.0,48907.45065,59451.63271140695,48741.92886839956,51766.613,47774.914,50548.297,46889.707
47398.0,48944.24247,58794.74490783613,48490.88186470544,50817.41,47472.63,50069.53,46495.152
47456.0,48775.728689999996,58501.97811057621,47421.17804943643,50529.242,46240.45,48388.03,45076.234
47682.0,48573.962569999996,57903.25435470356,46699.16856308312,50151.773,46006.37,47151.406,44150.535
47970.0,48320.36408,57666.134099338364,46120.9337731578,49408.88,45636.152,46235.574,43580.066
48098.0,48290.430589999996,58121.17882027232,45659.75284749169,48574.03,45864.004,46479.03,44499.906
49184.0,48447.177019999996,58112.132615260096,46442.54657861239,48720.938,46451.6,47137.2,45437.047
49950.0,48357.0646,57562.48612580348,46687.85582796843,49062.12,46878.457,47419.05,45756.965
50018.0,48537.222480000004,57509.86478739592,47372.7620886181,49533.39,45950.184,47225.273,45587.68
49788.0,48417.60265,56847.59491905216,48137.41874287008,49724.81,47255.074,47499.23,46775.633
50146.0,48689.14358,55849.72363186018,49125.24854871968,50173.746,47704.137,47565.402,47090.605
49444.0,48592.65978,56681.619156070105,48268.171852732376,50114.016,48332.82,47804.14,47077.23
49367.0,48578.90964,56927.56496921484,48826.84683217426,50542.027,47843.953,48973.62,48301.1
