Actual,Proposed LDSS,SARIMA,SVR,ANN,RNN,LSTM,GRU
51340.0,50583.592189999996,53745.36250166011,51329.529416052006,51177.12,51411.473,52117.062,50876.617
51242.0,50305.536830000005,53588.70372553458,51706.94874094955,50804.945,51492.45,52607.875,51142.902
52704.0,49860.52592,54303.57191681101,51852.33606210708,50620.523,51904.734,52731.824,51357.74
53422.0,50377.48312,54474.99779334599,52287.92153104241,50757.27,52563.332,53987.67,53177.57
52008.0,51009.05831,54475.827337060226,52593.15777506055,51360.434,53005.777,53557.61,53113.535
51346.0,50737.89476,54741.61685729611,51982.92972757165,51468.832,52512.414,51807.664,50818.145
50340.0,50401.52913,55978.04503510961,51337.11656310629,51836.79,52563.336,52104.52,50870.01
48930.0,49859.485069999995,56753.17105594006,50773.28377571549,51592.617,52106.266,51381.836,50007.01
48664.0,49299.70704,56787.733214389766,49948.084132526856,50623.895,51523.883,51098.895,49209.83
49570.0,48831.33337,56718.72821407694,49947.353044158175,50277.48,51376.035,50994.117,49111.21
49614.0,49033.76447,57618.90337026012,50510.74004767027,49496.81,51918.457,52226.777,50426.414
49510.0,49339.60619,58520.68459842643,50695.855406573326,49071.125,51840.332,52239.395,50350.293
48824.0,49540.1519,58946.19888869187,50538.99653229186,49073.617,51993.246,52128.023,50290.01
48562.0,49225.60602,57375.595896807536,50443.98570124987,49849.77,50880.004,50548.15,48597.35
48792.0,49364.2061,57076.795450303776,50471.67020799341,50057.812,50825.297,50733.555,49351.703
48081.0,49396.66714,57346.108862637855,50588.31734641972,49910.63,51261.875,50581.24,49897.41
48228.0,48778.38711,58138.29110822499,49570.82036184977,49222.71,50165.805,49367.312,48368.547
49424.0,48661.55809,58828.54030646079,49687.17435766446,48827.68,50570.207,49992.41,48522.83
50431.0,48865.68285,60484.70752600621,50625.197024636785,48983.332,50791.67,51042.348,49694.88
50300.0,49438.402989999995,60873.43683816276,50602.41593614775,48319.71,51786.086,51874.832,51024.645
50520.0,49485.87415,59875.17946297586,50429.81596492046,48569.01,51376.617,51816.707,51318.5
50406.0,49897.927939999994,59666.385049335855,50741.62433715165,49510.773,51101.42,52124.633,50775.676
50132.0,50027.95473,59041.83856898625,51320.322386184045,50572.48,51560.836,52282.832,50611.637
49364.0,49561.83165,59152.94266787498,51871.36369573811,50790.64,51529.945,52052.336,50380.44
49670.0,49192.28673,58608.723096245274,50793.98018405343,50047.418,49846.35,50753.72,49096.91
49166.0,49169.93743,57920.87190155492,50802.42989864379,49832.996,49937.13,50578.312,49157.637
49732.0,49014.53467,57925.12343040361,50414.581761639805,49274.74,49664.19,49885.3,49008.99
49520.0,48868.85865,59085.17473413176,49998.261263053006,48584.89,48919.6,50356.2,49965.13
49770.0,49132.69975,60053.29942502838,49803.695016224316,49043.863,49125.086,49809.637,49197.69
49344.0,49249.6079,60114.937134680826,49776.23156240133,48876.15,47968.477,49889.41,49672.31
48678.0,49324.246080000004,59951.67117769161,49842.903219836655,49006.79,48703.645,49361.73,48596.75
48254.0,49007.95176,59451.63271140695,49278.542178009106,48527.246,47728.863,48523.926,47880.793
47740.0,48534.49559,58794.74490783613,48987.11813541038,48212.707,47212.9,48168.883,47295.08
47486.0,48351.9121,58501.97811057621,48402.89430271737,47342.3,46563.777,47290.66,46382.535
47398.0,48085.199539999994,57903.25435470356,47955.302917158224,46572.28,45989.414,47054.71,46279.64
47456.0,47921.5887,57666.134099338364,47430.87004755347,46091.062,45708.54,46784.48,46093.42
47682.0,47853.16364,58121.17882027232,47081.47087007272,45917.395,45628.49,47012.855,46725.637
47970.0,48171.1714,58112.132615260096,47330.24216848807,45775.09,45755.477,47899.676,47175.957
48098.0,48497.67333,57562.48612580348,47549.62415369136,45690.207,47014.797,48604.617,47336.85
49184.0,48510.247189999995,57509.86478739592,48044.17537279314,46008.816,46785.062,48136.99,46688.418
49950.0,48876.731960000005,56847.59491905216,48510.423786064144,46179.742,47771.695,49602.117,48404.44
50018.0,49490.50166,55849.72363186018,49158.155625787294,46864.055,48284.14,50077.438,49017.348
49788.0,49511.58795,56681.619156070105,48880.75460371517,47105.938,49130.19,49926.1,48484.477
50146.0,49399.54317,56927.56496921484,49059.76830591225,47754.426,48688.465,50479.367,49064.55
49444.0,49727.15594,57130.20022134244,49553.980358587025,48134.082,50088.375,50939.53,49388.918
49367.0,49593.89097,57604.711202252816,49701.36630930164,48160.94,49830.906,50714.973,49182.395
49346.0,49241.11525,57080.67775210278,49740.249915889864,47992.633,49832.508,51279.332,49313.016
49540.0,49175.43992,57140.68034986788,49945.83874895194,48414.305,50007.09,51343.863,49291.047
49214.0,48931.79948,57074.98481692165,49928.42706206591,47710.746,50204.285,51309.434,49396.426
48688.0,49188.865939999996,57252.48817925984,50223.99145967248,48269.1,50002.77,50969.66,48995.58
48046.0,48978.07762,57141.41103592955,49912.25105173491,48263.55,49385.15,50717.676,48529.78
47754.0,48704.39717,58341.273317973464,49500.06277531483,48243.996,49727.88,50195.83,47931.637
47414.0,48003.49303,58885.99790118415,49184.60600578439,47831.156,49841.035,50086.355,47984.72
46968.0,48088.35861,59144.717505476205,48785.12361529902,47250.652,48518.207,49519.574,47324.613
46328.0,47842.84951,58971.915315876045,48310.990859054,46725.883,48239.547,48830.887,46935.023
46570.0,47212.27104,59550.44251646821,48231.62779925351,46414.4,47237.637,48277.637,46069.785
46680.0,47118.45022,59811.976214478076,47890.13701814871,45955.55,48242.9,48296.58,46518.32
47100.0,47007.13815,59880.12363346447,47775.98318967085,45375.195,47292.965,48467.28,46454.363
46722.0,47495.49564,60088.0261665226,47705.75298246991,45252.2,48212.082,48915.656,46996.277
46261.0,47496.852999999996,61169.96828284715,47606.82984860198,45382.895,48091.234,48306.816,46042.332
47072.0,47250.67435,61713.06822469802,47298.147131599515,45345.574,48224.402,48432.883,46054.977
47250.0,47398.025760000004,61700.27645625299,48220.04221734838,45679.41,48753.24,49763.684,47157.695
46900.0,47652.96488,61596.050771125454,48290.83855197838,45820.027,48990.02,49360.562,46763.285
46334.0,47513.51569,62289.07250438704,48083.30126297122,45735.574,48285.125,48925.297,46265.387
46566.0,47326.61055,62952.924192490915,47697.65650023897,45831.55,47639.2,48278.68,45024.906
46506.0,47184.99065,63288.448957206085,47288.45208706835,45470.938,47791.86,48346.984,45362.996
46528.0,46909.07785,62075.82764040982,47005.7323236928,44835.227,47221.258,47844.625,45034.055
46868.0,46259.38142,61863.751460745116,46309.77003199553,44205.56,47015.098,48087.027,45190.906
47486.0,46231.16138,62160.81891458021,46486.98267686196,44303.773,47074.7,48947.426,45640.707
47586.0,46624.975999999995,62797.82806710663,46734.2796254541,44553.707,47720.645,49359.28,46549.656
47238.0,46644.43634,63321.94425764867,46595.74783971438,44510.473,47334.156,48945.46,46329.88
47246.67,46899.232410000004,64709.89021711082,46469.96463098817,44515.28,47274.223,48867.625,45973.965
47013.33,47359.593539999994,64973.07733983837,46958.65947961104,45020.285,47578.34,48755.824,45914.875
46950.0,46899.85479,64225.445000727974,46867.30605332545,44948.94,48155.61,48808.223,46247.145
47260.0,46660.69425,64133.46106831748,46540.40639943014,44352.645,47993.21,48718.86,46610.027
47326.0,47078.29619,64044.13909955754,47015.94366662274,44735.574,48694.453,49291.004,47017.625
47272.0,47251.10499,64405.013754227024,47386.05716575122,44805.055,48664.25,49496.547,46997.03
47121.0,47502.50462,64055.05602336616,47640.28560078655,44887.637,49044.496,49162.066,47043.1
47094.0,47348.54443,63694.07595340761,47468.96982605771,44635.0,48276.207,48394.176,46199.047
47324.0,47166.74767,63705.2999213368,47600.439773199854,44395.12,48326.152,48191.965,45763.45
47318.0,47290.84132,64571.03014172932,48140.05922520156,44482.1,48377.81,47981.117,45871.227
48676.0,46683.12193,65153.5587570426,47192.32240139348,43773.066,47815.918,47127.766,45523.996
48988.0,47052.312289999994,65172.57903789724,47425.705059178305,43865.914,48554.902,47807.348,46658.223
49188.0,47123.85609,65131.51522734742,47514.685987726916,43954.812,49282.465,48143.51,46883.14
49133.0,47554.26547,64845.95525929527,47867.64226706248,44601.18,49647.03,48217.855,46889.57
48790.0,47774.65575,64318.61949405775,48072.419496972194,45445.668,50038.164,48123.062,46767.742
48966.0,48156.85366,64065.924618266974,48456.06120444748,45652.04,50186.15,48093.434,46760.805
48292.0,48234.71026,63541.81584897021,48729.55915162726,45713.668,49971.984,48176.906,46926.062
46380.0,48106.69365,63303.399819987346,48677.21525081728,45563.473,50159.957,47574.598,46004.816
45406.0,47028.58356,63960.612873658065,47698.27392857374,44708.36,48448.89,45383.645,43685.836
45492.0,46272.303,63865.61960693556,46886.056856961055,44034.797,47553.938,45257.16,43432.094
46002.0,46112.49717,63395.10330097577,46914.15572743568,43761.836,47253.05,44979.566,43481.625
45338.0,45889.64477,63269.76959849688,46195.94075486244,42686.566,46879.25,44397.105,43283.363
45010.0,45735.27753,62772.405834495876,45689.63337737526,42538.484,46025.742,43429.97,42031.902
43594.0,45134.54581,61921.410446506394,45389.24626939631,42254.36,44810.707,43073.78,41826.043
40596.0,44238.86399,62555.86031459601,44724.73058676613,42056.438,43393.984,42223.98,40639.57
38284.0,42482.59014,62839.87413231633,42748.66367431594,41026.52,39734.695,40787.445,38823.395
39392.0,40382.13899,62875.11772210786,40612.358931935494,39488.305,37186.934,40386.082,37910.69
40843.0,40081.12146,63215.65532582012,39823.3492017258,39345.242,37764.76,41314.14,38688.16
42036.0,40969.09926,62815.37869471212,40024.3105307561,39359.414,38227.258,42452.66,39084.973
42024.0,42427.544689999995,62888.50310068558,40379.2325598164,38660.46,38592.797,42532.848,39770.496
42911.0,42575.220989999994,62679.40296978668,40285.114524797005,38559.824,37523.805,42691.047,39476.707
43131.0,43294.23876,62852.8297336754,40699.6642900868,38410.832,37894.75,43129.83,40233.01
43538.0,43030.32919,62836.73917587775,41067.92645133387,38738.426,37916.15,43178.11,40088.184
43992.0,43412.6846,63779.22896010924,41238.42799722841,38758.7,36933.03,43203.957,40126.1
44104.0,43773.27199,64165.20568403079,41573.87890738449,39276.184,38291.57,43195.125,40470.668
44970.0,43306.40785,64420.306513475356,41622.56946074742,39354.992,37927.176,42671.566,40141.3
46702.0,43517.46855,64247.42183122645,42089.55200439004,39779.16,39084.91,43211.332,41537.742
47128.0,44382.49255,64825.947151337685,43171.04613633073,40495.855,38945.57,43910.574,42681.48
48230.0,44866.320680000004,65087.48080648058,43559.286287811454,41222.73,39588.25,43731.977,42480.27
49264.0,45783.2965,65155.62822448979,44589.19742697709,42254.414,39935.61,43799.64,43341.457
50040.0,46089.40452,65363.530757525645,45212.93591461132,43160.5,41746.484,44184.77,43714.664
52242.0,45835.368539999996,66445.47287384969,45367.34539183911,43348.72,41719.01,44705.492,44427.137
51994.0,46314.24808,66988.57281570054,46062.12182566333,43725.934,43328.77,45524.95,45959.266
51914.0,46575.837810000005,66975.78104725551,46379.38887558153,44657.25,44339.273,45177.438,44978.816
51450.0,46681.6375,66871.55536212798,46632.34338265159,44984.664,44683.168,44687.31,44364.77
50384.0,46786.09809,67564.57709538957,46645.87600487938,45780.133,44775.094,43508.44,43562.965
51682.0,46231.16518,68228.42878349344,46142.969722409434,45471.805,42875.715,41309.03,42012.957
51526.0,46336.22,68563.95354820862,46647.3248788424,45196.71,43402.543,41092.402,43051.8
