Model,MAE,MAPE,RMSE,Maximum error,Accuracy(500),Accuracy(1000),Accuracy(1500),Accuracy(2000),Accuracy(2500),Accuracy(3000)
SVR,3359.3740234375,6.846052646636963,4318.430965061269,3359.3740234375,0.09473684210526316,0.18947368421052632,0.3157894736842105,0.45263157894736844,0.4842105263157895,0.5473684210526316
ANN,3658.720947265625,7.5638933181762695,4713.14990234375,3658.720947265625,0.031578947368421054,0.05263157894736842,0.15789473684210525,0.28421052631578947,0.4631578947368421,0.6105263157894737
RNN,6409.056640625,12.721906661987305,9053.962890625,6409.056640625,0.12631578947368421,0.2,0.23157894736842105,0.3263157894736842,0.4421052631578947,0.4631578947368421
LSTM,5254.4560546875,10.645925521850586,6810.73583984375,5254.4560546875,0.06315789473684211,0.16842105263157894,0.23157894736842105,0.30526315789473685,0.35789473684210527,0.42105263157894735
GRU,3783.2158203125,7.684667587280273,5214.7314453125,3783.2158203125,0.11578947368421053,0.2631578947368421,0.3684210526315789,0.49473684210526314,0.5473684210526316,0.6210526315789474
SARIMA,3195.841796875,6.980059623718262,4345.69649193314,3195.841796875,0.14736842105263157,0.25263157894736843,0.3473684210526316,0.4631578947368421,0.5263157894736842,0.6210526315789474
