Model,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000)
SARIMA,4651.44,9.915573120117188,5482.920024950209,16.2%,34.51%
SVR,3990.54,8.044112205505371,5845.739987375422,46.48%,63.38%
ANN,3295.739990234375,6.836232662200928,3952.07177734375,27.46%,45.77%
RNN,3889.8798828125,7.90944242477417,5571.56298828125,48.59%,59.15%
LSTM,3961.429931640625,7.905645847320557,6474.21533203125,57.04%,70.42%
GRU,3443.760009765625,6.878072738647461,5513.7685546875,60.56%,70.42%
