Model,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000)
SARIMA,4718.38,10.04184627532959,5482.864944534016,14.79%,32.39%
SVR,2111.3,4.282861709594727,3077.158916923206,69.72%,79.58%
ANN,1726.1800537109375,3.498274087905884,2399.279052734375,73.24%,78.87%
RNN,3663.27001953125,7.4915924072265625,4492.77587890625,24.65%,54.23%
LSTM,2480.820068359375,4.956949234008789,4124.97216796875,71.13%,78.87%
GRU,2789.219970703125,5.6581130027771,4408.39697265625,69.01%,75.35%
