Model,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000)
SARIMA,4572.4,9.767460823059082,5487.4327330729075,19.01%,36.62%
SVR,3475.05,7.058746337890625,4592.025696792212,38.03%,59.86%
ANN,3684.050048828125,7.447380065917969,5102.3369140625,42.25%,59.15%
RNN,3536.840087890625,7.20059871673584,4814.091796875,42.25%,60.56%
LSTM,5301.9501953125,10.59202766418457,7952.125,37.32%,50.7%
GRU,4599.7900390625,9.187256813049316,6753.0166015625,40.85%,54.23%
