Model,MAE,MAPE,RMSE,Accuracy(3000)
SVR,5586.73095703125,11.352251052856445,7609.547424124512,44.55%
ANN,3852.156982421875,7.748896598815918,5574.16357421875,64.55%
RNN,3269.613037109375,6.569180011749268,4597.0224609375,67.27%
LSTM,4298.1357421875,8.528715133666992,6892.78759765625,66.36%
GRU,3806.917724609375,7.594238758087158,5431.86279296875,67.27%
