Model,MAE,MAPE,RMSE,Accuracy(3000)
SVR,2364.98583984375,4.796270847320557,3363.139009913209,73.64%
ANN,3510.564697265625,7.074038505554199,5262.46875,70.0%
RNN,4786.705078125,9.9495267868042,6073.84423828125,44.55%
LSTM,2348.980712890625,4.74354887008667,3502.7802734375,70.91%
GRU,2046.069091796875,4.150744915008545,2933.728759765625,72.73%
