Model,MAE,MAPE,RMSE,Accuracy(3000)
SVR,7230.107421875,14.779226303100586,9336.148242182104,35.45%
ANN,4998.29638671875,9.984393119812012,7472.72900390625,61.82%
RNN,5300.06005859375,10.444585800170898,8069.79150390625,52.73%
LSTM,5852.75048828125,11.628053665161133,8919.7216796875,58.18%
GRU,4720.85888671875,9.399412155151367,7184.77197265625,55.45%
