Model,MAE,MAPE,RMSE,Accuracy(3000)
SVR,4357.052734375,8.78273868560791,6095.797896912266,56.36%
ANN,5290.35302734375,10.513777732849121,7721.38916015625,52.73%
RNN,3739.140380859375,7.461270809173584,5521.21875,61.82%
LSTM,6727.21923828125,13.314657211303711,10259.2783203125,52.73%
GRU,5441.66357421875,10.730749130249023,8157.24267578125,56.36%
