Model,MAE,MAPE,RMSE
MW-LTS-500,1576.391845703125,3.3300485610961914,2080.7546707865395
SVR,3359.3740234375,6.846052646636963,4318.430965061269
ANN,2988.81982421875,6.1231842041015625,3939.730224609375
RNN,6750.0517578125,13.459268569946289,8901.81640625
LSTM,7089.7958984375,14.117776870727539,10361.349609375
GRU,3963.429931640625,7.7573957443237305,6036.0703125
SARIMA,2873.975830078125,6.020122528076172,3764.8559069372095
